loss,val_loss,acc,val_acc
0.098,0.0951,0.9781,0.9558
0.0971,0.0953,0.9781,0.9558
0.097,0.0955,0.9781,0.9558
0.0968,0.0948,0.9781,0.9558
0.0987,0.0952,0.9781,0.9558
0.0972,0.0949,0.9781,0.9558
0.0957,0.0944,0.9781,0.9558
0.0957,0.0944,0.9781,0.9558
0.0951,0.0942,0.9781,0.9558
0.0949,0.094,0.9781,0.9558
0.0947,0.0939,0.9781,0.9558
0.0966,0.0941,0.9781,0.9558
0.0946,0.0933,0.9781,0.9558
0.0948,0.0934,0.9781,0.9646
0.096,0.0931,0.9781,0.9646
0.094,0.0931,0.9781,0.9646
0.0933,0.0932,0.9781,0.9646
0.0932,0.0929,0.9759,0.9646
0.0934,0.093,0.9759,0.9646
0.0926,0.0927,0.9759,0.9646
0.0939,0.0923,0.9759,0.9646
0.0943,0.0924,0.9759,0.9646
0.092,0.0925,0.9759,0.9646
0.0926,0.0924,0.9759,0.9646
0.0935,0.0923,0.9759,0.9646
0.0913,0.0918,0.9759,0.9646
0.0986,0.0916,0.9759,0.9646
0.0913,0.0919,0.9759,0.9646
0.0907,0.0917,0.9759,0.9646
0.0917,0.0915,0.9759,0.9646
0.0905,0.0917,0.9759,0.9646
0.0901,0.0914,0.9759,0.9646
0.0919,0.0914,0.9759,0.9646
0.0898,0.0913,0.9759,0.9646
0.0894,0.091,0.9759,0.9646
0.0946,0.0907,0.9759,0.9646
0.0892,0.0908,0.9759,0.9646
0.0892,0.091,0.9759,0.9646
0.0914,0.0909,0.9759,0.9646
0.0951,0.0904,0.9759,0.9646
0.0887,0.0909,0.9759,0.9646
0.0891,0.0907,0.9759,0.9646
0.088,0.0899,0.9759,0.9646
0.0888,0.0901,0.9759,0.9646
0.0876,0.0903,0.9759,0.9646
0.0879,0.0899,0.9759,0.9646
0.0875,0.09,0.9759,0.9646
0.0892,0.0903,0.9759,0.9646
0.0884,0.0898,0.9759,0.9646
0.0878,0.0899,0.9759,0.9646
0.0917,0.0896,0.9759,0.9646
0.0864,0.0897,0.9759,0.9558
0.0862,0.0894,0.9759,0.9646
0.086,0.0895,0.9759,0.9558
0.087,0.0896,0.9759,0.9558
0.0858,0.0897,0.9759,0.9558
0.0876,0.0892,0.9759,0.9558
0.0857,0.0888,0.9759,0.9558
0.087,0.0888,0.9759,0.9558
0.086,0.0898,0.9759,0.9558
0.0855,0.0895,0.9759,0.9558
0.0861,0.0891,0.9759,0.9558
0.0853,0.0888,0.9759,0.9558
0.0847,0.0887,0.9759,0.9558
0.0846,0.0894,0.9759,0.9558
0.0844,0.0888,0.9759,0.9558
0.084,0.0886,0.9759,0.9558
0.084,0.0886,0.9759,0.9558
0.0859,0.0885,0.9759,0.9558
0.0839,0.0881,0.9759,0.9558
0.0842,0.0881,0.9759,0.9558
0.0838,0.0885,0.9759,0.9558
0.0831,0.0884,0.9759,0.9558
0.083,0.0886,0.9759,0.9558
0.0829,0.0882,0.9759,0.9558
0.0827,0.0883,0.9759,0.9558
0.0831,0.0882,0.9759,0.9558
0.0833,0.0882,0.9759,0.9558
0.0824,0.0882,0.9759,0.9558
0.083,0.0883,0.9759,0.9558
0.082,0.0881,0.9759,0.9558
0.0828,0.0883,0.9759,0.9558
0.0819,0.0877,0.9759,0.9558
0.0817,0.0883,0.9759,0.9558
0.0819,0.0884,0.9759,0.9558
0.0814,0.0881,0.9759,0.9558
0.0836,0.0878,0.9759,0.9558
0.0812,0.0887,0.9759,0.9558
0.0809,0.0881,0.9759,0.9558
0.0808,0.0883,0.9759,0.9558
0.0874,0.088,0.9759,0.9558
0.0809,0.0882,0.9759,0.9558
0.081,0.0886,0.9759,0.9558
0.0803,0.088,0.9759,0.9558
0.0803,0.0874,0.9759,0.9558
0.0814,0.088,0.9759,0.9558
0.0813,0.0878,0.9759,0.9558
0.0806,0.0879,0.9759,0.9558
0.0798,0.0881,0.9759,0.9558
0.0807,0.0878,0.9759,0.9558
0.0795,0.0876,0.9759,0.9558
0.0797,0.0878,0.9759,0.9558
0.0792,0.0875,0.9759,0.9558
0.0795,0.0873,0.9759,0.9558
0.0792,0.0876,0.9759,0.9558
0.0855,0.0873,0.9759,0.9558
0.0788,0.0878,0.9781,0.9558
0.0788,0.0878,0.9781,0.9558
0.0792,0.0877,0.9781,0.9558
0.0785,0.0875,0.9781,0.9558
0.0784,0.0871,0.9781,0.9558
0.0792,0.0873,0.9759,0.9558
0.0791,0.0872,0.9781,0.9558
0.0781,0.0874,0.9781,0.9558
0.0787,0.0872,0.9781,0.9558
0.0778,0.0875,0.9781,0.9558
0.0781,0.0872,0.9781,0.9558
0.0777,0.0876,0.9781,0.9558
0.0776,0.0874,0.9781,0.9558
0.0775,0.0872,0.9781,0.9558
0.0784,0.0874,0.9781,0.9558
0.0786,0.0872,0.9781,0.9558
0.077,0.0869,0.9781,0.9558
0.0773,0.0869,0.9781,0.9558
0.0769,0.0873,0.9781,0.9558
0.0767,0.0872,0.9781,0.9558
0.0773,0.0867,0.9781,0.9558
0.0768,0.0871,0.9781,0.9558
0.077,0.0867,0.9781,0.9558
0.0773,0.087,0.9781,0.9558
0.0763,0.0872,0.9781,0.9558
0.0766,0.0871,0.9781,0.9558
0.0762,0.0868,0.9781,0.9558
0.0759,0.0871,0.9781,0.9558
0.0771,0.0871,0.9781,0.9558
0.0761,0.087,0.9781,0.9558
0.0757,0.0868,0.9781,0.9558
0.0764,0.0869,0.9781,0.9558
0.0754,0.0873,0.9781,0.9558
0.0755,0.0874,0.9781,0.9558
0.0755,0.087,0.9781,0.9558
